id,nombre,direccion,long,lat
48,034 - Colonia Express,150 Dellepiane Y Pedro de Mendoza,-58.3621265468935,-34.624256405674
152,152 - JULIETA LANTERI,"Vera Peñaloza, Rosario 599 & Lanteri Julieta",-58.3596264980273,-34.6181657788322
329,100 - Plaza Gurruchaga,1078 Gurruchaga,-58.4351854049083,-34.5931413389044
189,189 - POSADAS,1350 Posadas,-58.3852075664993,-34.5886893817981
135,135 - MARCELO T. DE ALVEAR,902 Esmeralda,-58.3787816568915,-34.5972825090596
275,256 - PLAZA NORUEGA,Amenabar y Mendoza,-58.4591471941392,-34.5623955210361
92,092 - Salcedo,2908 Salcedo & Dean Funes,-58.4053360222206,-34.6316457633862
2,002 - Retiro I,"Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.",-58.3747109506359,-34.5924239181221
51,051 - TUCUMAN,Tucuman & 9 De Julio Av.,-58.3821223276689,-34.601478388452
79,079 - AZUCENA VILLAFLOR,"Villaflor, Azucena & Dealessi, Pierina",-58.3639255346178,-34.6118911147008
71,071 - CERRITO,Libertad & lavalle,-58.3833521880124,-34.6026681095854
64,064 - RIOBAMBA,Riobamba 1264 & Juncal,-58.3941053769899,-34.5936513514892
4,004 - Plaza Roma,Lavalle & Bouchard,-58.3687766674259,-34.6018228613782
45,045 - Uruguay,561 Uruguay & Av. Tucuman,-58.3866898229969,-34.6018642749649
299,221 - CULPINA,Culpina 121,-58.4661429869904,-34.6317060664531
174,174 - MINISTERIO DE EDUCACION,Marcelo T. de Alvear & Rodriguez Peña,-58.3917646038321,-34.5972256444129
289,255 - BARRANCAS DE BELGRANO,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",-58.4483127191579,-34.5598005151061
444,061-Ministerio de Economia,"Balcarce & Yrigoyen, Hipolito Av.",-58.370711799739,-34.6089370142298
59,018 - Independencia,Idependencia y Bernardo de Irigoyen,-58.3805612773066,-34.6176551651145
56,056 - Plaza Palermo Viejo,Costa Rica & Armenia,-58.4259969848864,-34.5885672796636
63,063 - Reconquista,Reconquista 76 & Cordoba Av.,-58.3730578249681,-34.598600767028
167,275 - PLAZA 24 DE SEPTIEMBRE,1355 San Martin Av.,-58.4485390670682,-34.6069845890078
43,334 - CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,-58.3899174317068,-34.5840183523498
137,137 - AZOPARDO Y CHILE,AZOPARDO 700,-58.367488011291,-34.6155988819474
242,103 - MALBA,3051 San Martin De Tours,-58.4032109430291,-34.5771601311645
150,150 - VERA PEÑALOZA,Av. España 2200,-58.3557441485293,-34.6188407590045
22,022 - Arenales,Cerrito & Arenales,-58.3825459912056,-34.5938635127407
24,024 - ALSINA,Adolfo Alsina& Bernardo De Irigoyen,-58.3808905407121,-34.610584002164
114,114 - DELLA PAOLERA,"Della Paolera 297, Carlos M. & Av. Leandro N. Alem",-58.3722511651173,-34.5949751882826
353,237 - Madero Office,"367 Sanchez De Thompson, Mariquita",-58.364690475284,-34.5990368177424
35,035 - INGENIERO BUTTY,Ing. E. Butty 291,-58.3718427582335,-34.5964253233404
271,365 - Venancio Flores,"Argerich & Flores, Venancio, Gral.",-58.4738443002142,-34.6301089921114
441,016 - Legislatura,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",-58.3747959781335,-34.6098020140517
60,060 - 25 De Mayo,527 25 De Mayo,-58.3710747631044,-34.6016517462761
430,037 - Claudia Pia Braudacco,Esmeralda y Av.Rivadvia,-58.3778816952673,-34.6079819574811
302,340 - PLAZA NUEVA POMPEYA,3817 Traful,-58.4157690071187,-34.6518481736553
6,006 - Parque Lezama,"Avenida Martin Garcia, 295",-58.3697538990917,-34.6285274659984
126,126 - Ministerio de Justicia y Seguridad,"Regimiento De Patricios Av. & Araoz De Lamadrid, Gregorio, Gral.",-58.3692202603994,-34.6402689367212
448,393 - Barrio 31,Carlos H. Perette 11,-58.3788579541696,-34.5824223699167
151,151 - AIME PAINÉ,"Villaflor, Azucena & Paine, Aime",-58.3612804225292,-34.6118156258636
32,032 - Catedral,67 San Martin,-58.3735943089618,-34.6072083607413
188,373 - Jorgelina De Simone,Cochabamba 1755,-58.3904781403275,-34.6239242597693
203,108 - Usina del Arte,"Caffarena, Agustin R. & Don Pedro De Mendoza Av.",-58.3562543312869,-34.6287585370652
